No.,Station,Station2,Type
G01,Shibuya,???,Metro
G02,Omote-sando,????,Metro
G03,Gaiemmae,????,Metro
G04,Aoyama-itchome,??????,Metro
G05,Akasaka-mitsuke,?????,Metro
G06,Tameike-sanno,?????,Metro
G07,Toranomon,????,Metro
G08,Shimbashi,???,Metro
G09,Ginza,???,Metro
G10,Kyobashi,???,Metro
G11,Nihombashi,????,Metro
G12,Mitsukoshimae,????,Metro
G13,Kanda,???,Metro
G14,Suehirocho,????,Metro
G15,Ueno-hirokoji,??????,Metro
G16,Ueno,???,Metro
G17,Inaricho,????,Metro
G18,Tawaramachi,????,Metro
G19,Asakusa,???,Metro
